# LAMMPS data file written by WriteLammpsdata function in RASPA(written by Zhao Li)
1007  atoms
0  bonds
0  angles
0  dihedrals
0  impropers
0.0      36.174000000000 xlo xhi
0.0      31.409760388580 ylo yhi
0.0      39.621370056408 zlo zhi
  -18.246440127652    -0.161748620188    -0.088923995918 xy xz yz

5 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

Masses

1     83.800000000000  # Kr_
2     15.999404927130  # O
3     12.010735896764  # C
4     51.996133070619  # Cr
5      1.007940753896  # H

Pair Coeffs

1      0.330670586763      3.636000000000 # Kr_
2      0.059993659942      3.120000000000 # O
3      0.104983936891      3.430000000000 # C
4      0.015003382993      2.690000000000 # Cr
5      0.043996675426      2.570000000000 # H

Atoms

223  1  3                 0.0		           2.45045             7.52941            21.05559		# C
224  1  3                 0.0		           2.82107             8.63798            21.84069		# C
225  1  3                 0.0		           4.02239             9.30987            21.54273		# C
226  1  3                 0.0		           4.83249             8.88224            20.48722		# C
227  1  3                 0.0		           5.21208             7.29486            38.44065		# C
228  1  3                 0.0		           5.91466             6.92328            37.53431		# C
229  1  5                 0.0		           2.88121             6.20414            39.21802		# H
230  1  5                 0.0		           1.53264             6.99059            21.25528		# H
231  1  5                 0.0		           4.33770            10.16747            22.12398		# H
232  1  5                 0.0		           5.75338             9.41213            20.27406		# H
233  1  2                 0.0		          -7.67685            24.14949             6.04325		# O
234  1  2                 0.0		         -10.24718            24.20458             6.47829		# O
235  1  3                 0.0		         -11.32453            24.82516             6.72494		# C
236  1  2                 0.0		         -11.71268            25.82412             6.03869		# O
237  1  2                 0.0		         -10.38443            28.02384             6.48424		# O
238  1  3                 0.0		          -9.30891            28.64566             6.73722		# C
239  1  2                 0.0		          -8.24540            28.48102             6.05811		# O
240  1  2                 0.0		          -7.00880            26.22656             6.49275		# O
241  1  3                 0.0		          -7.00745            24.98219             6.73385		# C
242  1  2                 0.0		          -8.15821            24.21969             3.38624		# O
243  1  2                 0.0		         -10.73024            24.14757             3.82108		# O
244  1  3                 0.0		         -11.40760            24.97536             3.12831		# C
245  1  2                 0.0		         -11.40682            26.21925             3.38208		# O
246  1  2                 0.0		         -10.18767            28.47974             3.82901		# O
247  1  3                 0.0		          -9.12571            28.65496             3.15069		# C
248  1  2                 0.0		          -8.04598            28.03940             3.40050		# O
249  1  2                 0.0		          -6.70308            25.84634             3.83555		# O
250  1  3                 0.0		          -7.08269            24.84638             3.14613		# C
251  1  4                 0.0		          -9.20343            24.25140             4.93227		# Cr
252  1  4                 0.0		         -10.86138            27.10105             4.93365		# Cr
253  1  4                 0.0		          -7.56206            27.11264             4.94653		# Cr
254  1  2                 0.0		          -9.20869            26.15560             4.93841		# O
255  1  2                 0.0		          -2.38511            20.85161            13.32744		# O
256  1  2                 0.0		          -1.14311            18.59565            13.72583		# O
257  1  3                 0.0		          -0.06761            18.41603            13.07604		# C
258  1  2                 0.0		           1.01668            19.01334            13.33576		# O
259  1  2                 0.0		           2.34562            21.21755            13.74049		# O
260  1  3                 0.0		           1.96537            22.23717            13.08634		# C
261  1  2                 0.0		           0.90578            22.87908            13.34190		# O
262  1  2                 0.0		          -1.66958            22.92893            13.73316		# O
263  1  3                 0.0		          -2.35962            22.09098            13.07505		# C
264  1  2                 0.0		          -2.66574            21.20103            15.99138		# O
265  1  2                 0.0		          -1.32501            19.00208            16.39017		# O
266  1  3                 0.0		          -0.23721            18.40959            16.64811		# C
267  1  2                 0.0		           0.83760            18.59762            15.99931		# O
268  1  2                 0.0		           2.06876            20.85805            16.40444		# O
269  1  3                 0.0		           2.03601            22.09612            16.66237		# C
270  1  2                 0.0		           1.34089            22.93293            16.00822		# O
271  1  2                 0.0		          -1.23497            22.86814            16.39869		# O
272  1  3                 0.0		          -2.29342            22.22163            16.64811		# C
273  1  4                 0.0		          -1.81498            19.95033            14.85920		# Cr
274  1  4                 0.0		           1.50209            19.95910            14.86990		# Cr
275  1  4                 0.0		          -0.16409            22.82728            14.87049		# Cr
276  1  2                 0.0		          -0.15888            20.91223            14.86693		# O
277  1  3                 0.0		          -0.12301            15.74464             9.99508		# C
278  1  3                 0.0		         -10.42127            30.75164             9.69357		# C
279  1  3                 0.0		         -10.44504            29.84063             8.63270		# C
280  1  3                 0.0		          -9.29103            29.61637             7.85771		# C
281  1  3                 0.0		          -8.11455            30.32443             8.17072		# C
282  1  3                 0.0		          -8.09421            31.23419             9.23158		# C
283  1  3                 0.0		          -0.09968            16.68386            11.08487		# C
284  1  3                 0.0		          -0.08164            17.47318            11.99577		# C
285  1  5                 0.0		         -11.31915            30.91131            10.27858		# H
286  1  5                 0.0		         -11.36637            29.31232             8.42152		# H
287  1  5                 0.0		          -7.20800            30.17558             7.59760		# H
288  1  5                 0.0		           1.94392            16.06450             9.45643		# H
289  1  3                 0.0		           4.30474            23.50285             9.99469		# C
290  1  3                 0.0		         -12.59113            22.83135             9.69693		# C
291  1  3                 0.0		         -11.79201            23.25683             8.63112		# C
292  1  3                 0.0		         -12.17568            24.36170             7.84701		# C
293  1  3                 0.0		         -13.37679            25.02910             8.15566		# C
294  1  3                 0.0		         -14.17327            24.60126             9.22168		# C
295  1  3                 0.0		           3.48161            23.06301            11.09002		# C
296  1  3                 0.0		           2.78983            22.69048            12.00428		# C
297  1  5                 0.0		         -12.27958            21.97913            10.28908		# H
298  1  5                 0.0		         -10.87379            22.72176             8.42350		# H
299  1  5                 0.0		         -13.70170            25.88396             7.57600		# H
300  1  5                 0.0		           2.99304            25.12797             9.44356		# H
301  1  3                 0.0		          -4.62830            23.49736             9.99172		# C
302  1  3                 0.0		          -4.64347            24.86653             9.70228		# C
303  1  3                 0.0		          -5.41436            25.35184             8.64122		# C
304  1  3                 0.0		          -6.18088            24.47146             7.85375		# C
305  1  3                 0.0		          -6.15731            23.09583             8.15487		# C
306  1  3                 0.0		          -5.38608            22.61397             9.21613		# C
307  1  3                 0.0		          -3.83332            22.99832            11.08249		# C
308  1  3                 0.0		          -3.16382            22.58120            11.99398		# C
309  1  5                 0.0		          -4.05988            25.55920            10.29700		# H
310  1  5                 0.0		          -5.41043            26.41583             8.43935		# H
311  1  5                 0.0		          -6.73628            22.39010             7.57224		# H
312  1  5                 0.0		          -5.38112            21.55200             9.43167		# H
313  1  3                 0.0		          -0.16552            15.72517            19.71757		# C
314  1  3                 0.0		         -10.35942            31.24509             0.66703		# C
315  1  3                 0.0		         -10.33260            30.33011             1.72333		# C
316  1  3                 0.0		          -9.15024            29.63101             2.03495		# C
317  1  3                 0.0		          -7.99724            29.86958             1.26293		# C
