"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"199","1248",0.93,45.6,46.8,5892,1072,4.1994773175,-1961.44,-19.3302,-191.7355,4.32086969929874
"200","12496",0.89,21.4,32,3466,1123,6.7292719215,-2214.45,-31.4263,-217.814,7.5463375075332
"201","12507",0.9,25.5,38.3,3516,951,3.3408543577,-1702.35,-14.29715,-136.2295,4.30293693479433
"202","12509",0.92,28.7,40.5,4112,957,3.9004689125,-1858.81,-15.0415,-147.18525,4.10820545138654
"203","12514",0.94,30.7,44.6,4495,865,3.3716527507,-1737.04,-9.59389,-116.39375,3.35264336174779
"204","12521",0.94,32.8,46.6,4550,819,3.8503398557,-1985.13,-7.35743,-108.0465,3.70136722900094
"205","12527",0.94,35.6,50,5235,792,2.5645188465,-1563.45,-5.411125,-83.18725,2.81720667552112
"206","12530",0.95,37.1,51.7,4957,723,3.3534651593,-1858.65,-4.52318,-84.598,3.18141508418565
"207","12551",0.67,9.5,14.8,1865,1364,24.7557726074,-2099.94,1211.47,-527.435,26.2989332737354
"208","12559",0.87,14.6,21.6,4891,1652,7.0509420699,-1449.67,-99.9313,-383.1515,7.21441573607479
"209","1256",0.92,44.9,46.4,4582,1091,3.9130142489,-1447.16,-11.28015,-184.4435,3.85136842333329
"210","12564",0.89,17.5,25.2,4632,1469,10.6342320429,-1718.68,-74.4506,-361.7295,9.57210351155401
"211","12578",0.92,20.8,31.3,5272,1285,7.5531565786,-1691.06,-50.7826,-291.08725,6.60154476535263
"212","12581",0.92,21.9,29.7,6158,1267,4.6354469921,-1672.76,-49.9035,-245.347,4.68136501049917
"213","12588",0.94,26.3,35.3,5591,1041,2.4217618022,-1375.31,-28.4551,-150.894,2.79632389385347
"214","12592",0.7,7.6,12.2,1869,1562,31.9817911772,-2018.36,4579.26,-615.10975,31.8663193684713
"215","126",0.81,8.2,10.8,5318,2278,27.8920782973,-1813.42,-256.313,-757.6415,24.2490222365944
"216","12634",0.95,34,46.6,6572,854,3.9769276522,-2186.99,-9.73497,-122.938,3.78268932558315
"217","12668",0.9,24.1,34.3,4234,1094,3.3026389792,-1323.74,-22.3156,-179.131,3.62226199450215
"218","12678",0.73,9.1,17.2,1912,1685,12.562046286,-1623.33,-71.45575,-413.09625,13.6218731613435
"219","1269",0.9,35.4,36.8,5654,1331,5.539517995,-1866.14,-24.46775,-265.41925,5.82105861297526
"220","12696",0.84,13.5,20.6,3251,1487,13.1774868466,-1684.08,-110.8435,-441.51925,12.1050333569608
"221","12703",0.91,18.2,26,5317,1429,5.1016977252,-1273.94,-73.6909,-327.06875,5.27929983922843
"222","12718",0.93,21.6,31.2,6752,1374,4.2328049008,-1515.17,-48.3382,-246.2275,4.3594636711377
"223","1273",0.91,41.7,43.2,4984,1160,5.4253835931,-2027.74,-12.2124,-212.87,5.80548141800055
"224","12800",0.72,10,17.4,1792,1490,9.0437169392,-1892.98,-53.37645,-335.29175,13.6150554149365
"225","12839",0.77,12.6,19.1,2645,1407,21.116279753,-2191.19,-100.35,-452.611,19.3028521672239
"226","1284",0.93,49.7,51.2,5028,948,6.9732128884,-2296.65,-4.13886,-151.102,5.96533043503009
"227","12856",0.93,20.9,28.8,6845,1279,2.7067394164,-1065.49,-53.382,-230.0175,3.05003651951795
"228","12874",0.95,28.1,39,6734,973,3.6247389218,-1576.27,-25.2534,-151.983,3.58376423679038
"229","12883",0.76,10.1,16.9,2692,1565,30.3166562602,-2205.37,-56.3499,-496.232,24.5050219942352
"230","1289",0.94,52.9,54.4,7008,1066,3.6612668655,-1828.63,-8.61343,-145.394,3.58712878101985
"231","12897",0.93,24.6,35.3,5509,1111,5.3389533544,-2031.18,-32.5603,-223.5135,5.47591292772729
"232","12900",0.94,26.3,39.3,5303,1012,6.6509858719,-2160.08,-22.5214,-198.067,5.77805578427932
"233","12926",0.97,38.1,52.2,8146,736,2.3007728249,-1834.88,-5.06765,-78.79995,2.39802604533134
"234","1294",0.95,53.1,55,7197,978,2.8587506259,-1754.9,-10.8437,-139.446,3.0892328826662
"235","12941",0.89,20.7,29.6,3622,1199,8.4135927549,-2061.04,-36.8275,-257.443,8.34522625192502
"236","12947",0.91,24.4,35,4161,1110,8.03217375,-2086.96,-25.4867,-211.8095,6.97915626930933
"237","12953",0.92,24.7,34.1,4388,1089,6.2009603503,-1826.28,-26.4325,-209.5445,5.73844102116254
"238","12998",0.93,24,33,5796,1161,4.3950168536,-1506.16,-43.3773,-229.249,4.70340235649259
"239","13005",0.93,24.2,33.6,5655,1170,6.2480963082,-1611.37,-32.4825,-228.365,5.78448884235331
"240","13021",0.96,34,44.3,7675,779,2.5085967051,-1648,-12.24395,-88.6027,2.55067866388385
"241","13041",0.94,27.6,39.3,5813,1003,4.6151490745,-2111.57,-21.9242,-183.3555,4.72285913580275
"242","13048",0.96,30.4,41.3,7249,935,2.5329739805,-1688.51,-17.8402,-139.7615,2.81423374318375
"243","13051",0.89,17.4,25.3,3764,1295,10.4612862268,-1925.94,-73.6135,-366.62325,10.2611012487745
"244","13057",0.96,33,45.8,7103,878,2.4147995739,-1796.96,-11.98165,-113.66,2.6659232644937
"245","13081",0.88,19.9,30,3125,1192,5.6882930626,-1351.07,-43.3225,-265.50775,6.43190572660213
"246","13093",0.94,29.3,41.6,4939,950,4.2689844394,-1533.89,-17.4475,-160.317,3.98510294731903
"247","13128",0.89,16.1,24,4276,1456,9.2335385337,-1527.94,-94.84595,-393.3795,8.85035971641094
"248","1313",0.83,35.8,36.5,3037,1226,12.4015099177,-1894.07,-8.63555,-255.57275,12.1659263111225
